30 800
1 1 3
1 2 21
1 3 20
1 4 21
1 5 23
1 6 6
1 7 10
1 8 29
1 10 25
1 11 13
1 12 15
1 15 9
1 16 25
1 17 5
1 18 22
1 20 21
1 21 30
1 22 26
1 24 12
1 25 27
1 26 16
1 27 27
1 29 8
1 30 21
2 1 29
2 2 16
2 3 10
2 4 14
2 5 18
2 6 14
2 7 11
2 8 13
2 9 26
2 10 30
2 11 3
2 12 10
2 13 28
2 14 5
2 16 9
2 17 22
2 18 17
2 19 15
2 21 22
2 22 4
2 23 19
2 25 13
2 26 16
2 27 18
2 28 1
2 29 27
2 30 15
3 1 8
3 2 15
3 3 14
3 4 28
3 5 14
3 6 29
3 7 29
3 9 19
3 10 16
3 11 4
3 12 21
3 13 28
3 14 29
3 15 21
3 16 23
3 17 1
3 19 10
3 20 27
3 21 9
3 22 23
3 23 5
3 24 23
3 25 14
3 26 30
3 28 3
3 29 19
4 1 15
4 2 12
4 3 19
4 4 4
4 5 18
4 6 26
4 8 10
4 9 1
4 10 23
4 11 15
4 12 29
4 13 13
4 15 4
4 16 15
4 17 16
4 18 24
4 19 4
4 20 14
4 21 6
4 22 26
4 23 14
4 24 7
4 25 14
4 26 14
4 27 29
4 28 11
4 29 28
4 30 13
5 1 10
5 2 22
5 3 23
5 4 25
5 5 4
5 7 11
5 8 20
5 9 21
5 10 28
5 11 29
5 12 14
5 13 12
5 14 14
5 15 12
5 16 24
5 20 9
5 21 18
5 22 9
5 24 24
5 25 22
5 26 14
5 27 22
5 28 9
5 29 20
5 30 28
6 1 23
6 2 25
6 3 27
6 4 3
6 5 15
6 7 1
6 8 4
6 9 6
6 10 23
6 11 20
6 14 1
6 15 25
6 16 9
6 17 14
6 19 22
6 20 30
6 21 27
6 22 25
6 23 5
6 24 8
6 26 18
6 27 13
6 28 26
6 29 18
6 30 28
7 1 9
7 2 23
7 3 19
7 4 17
7 5 12
7 6 17
7 7 1
7 8 29
7 9 5
7 10 25
7 11 13
7 12 5
7 13 29
7 14 10
7 16 27
7 17 10
7 18 3
7 19 13
7 20 19
7 22 16
7 24 4
7 25 10
7 26 12
7 27 20
7 28 14
7 29 11
7 30 29
8 1 18
8 2 6
8 3 16
8 5 15
8 6 6
8 7 8
8 9 26
8 10 15
8 11 12
8 12 12
8 13 15
8 14 10
8 15 8
8 16 2
8 17 14
8 18 12
8 20 22
8 21 15
8 22 30
8 23 1
8 25 17
8 26 12
8 27 11
8 28 2
8 29 7
8 30 12
9 1 5
9 2 26
9 3 17
9 4 16
9 5 24
9 6 4
9 7 13
9 8 1
9 9 11
9 10 19
9 11 8
9 12 6
9 13 3
9 14 11
9 15 9
9 16 9
9 17 12
9 18 16
9 19 2
9 20 17
9 21 27
9 22 23
9 23 2
9 24 18
9 25 16
9 26 18
9 27 29
9 28 18
9 29 12
10 2 5
10 3 30
10 4 16
10 5 22
10 6 16
10 8 1
10 9 15
10 10 12
10 12 14
10 13 15
10 14 22
10 15 2
10 16 14
10 17 19
10 18 26
10 19 17
10 20 27
10 21 4
10 22 28
10 23 12
10 24 6
10 25 15
10 26 30
10 27 20
10 28 8
10 29 17
11 1 5
11 2 25
11 3 7
11 4 15
11 5 6
11 8 3
11 9 14
11 10 14
11 11 24
11 13 21
11 14 14
11 15 8
11 16 24
11 17 19
11 18 14
11 19 15
11 20 20
11 21 19
11 22 3
11 23 7
11 24 5
11 25 21
11 26 11
11 27 25
11 28 2
11 29 8
11 30 1
12 1 23
12 2 27
12 3 8
12 5 1
12 6 24
12 8 24
12 9 7
12 10 8
12 11 22
12 12 9
12 13 13
12 14 5
12 15 24
12 16 25
12 17 10
12 18 23
12 19 19
12 21 29
