10 75
1 1 8
1 3 12
1 4 24
1 6 29
1 7 30
1 8 16
2 1 16
2 2 15
2 3 2
2 4 23
2 5 6
2 8 3
2 9 30
3 1 10
3 2 4
3 3 18
3 6 9
3 7 21
3 8 3
3 9 17
3 10 25
4 1 30
4 2 25
4 3 15
4 5 19
4 6 7
4 7 12
4 8 22
4 9 20
4 10 18
5 2 26
5 5 27
5 7 30
5 8 11
5 9 26
5 10 21
6 1 27
6 4 3
6 7 27
6 8 20
6 10 18
7 1 24
7 2 22
7 3 17
7 4 25
7 5 17
7 6 26
7 7 4
7 8 8
7 9 20
8 1 20
8 2 2
8 3 19
8 4 6
8 5 8
8 7 30
8 8 12
8 9 20
9 1 21
9 2 23
9 3 29
9 4 9
9 5 20
9 6 20
9 8 11
9 9 7
9 10 10
10 1 7
10 2 9
10 4 7
10 5 18
10 6 18
10 7 30
10 8 1
10 10 4
