400 1000
1 65 30
1 259 19
1 328 22
2 152 2
2 217 17
2 233 7
2 359 29
3 12 14
3 168 30
3 190 28
3 216 26
4 211 5
4 265 27
4 298 12
5 24 24
5 94 7
6 284 28
7 31 26
7 124 23
8 32 28
8 51 25
8 152 24
9 28 24
9 98 26
9 292 7
9 396 3
10 8 27
10 63 2
10 227 1
10 235 18
10 248 16
11 43 30
11 68 29
11 75 7
12 270 1
12 334 15
13 64 5
13 196 21
14 28 28
14 244 27
15 136 18
15 169 23
15 359 1
16 41 6
16 284 27
17 159 17
17 326 12
18 178 24
18 207 12
18 216 5
19 110 13
19 116 28
19 317 20
19 346 6
20 100 24
20 219 18
20 308 30
20 376 20
21 303 11
21 326 30
21 393 7
22 114 19
22 265 29
22 370 5
23 9 17
23 56 21
23 61 11
23 107 22
23 225 3
24 110 9
24 114 10
24 124 21
24 387 23
25 204 2
26 258 26
26 378 19
27 196 18
27 210 30
28 57 5
28 188 22
28 193 26
28 225 17
28 304 19
29 114 7
29 131 15
29 178 4
30 83 16
30 359 14
30 369 23
31 285 19
31 287 14
32 152 22
32 276 7
33 151 4
33 336 18
33 387 23
34 98 17
34 100 21
34 388 6
36 188 19
37 19 21
37 233 15
38 20 1
39 74 5
39 232 17
39 248 19
39 349 24
39 395 26
40 40 10
40 128 20
40 272 17
40 289 27
41 65 6
41 85 28
41 96 3
41 306 12
41 399 1
42 160 10
42 249 26
43 310 16
44 83 28
45 227 1
45 232 29
45 365 4
45 390 26
46 303 16
47 230 19
48 130 12
48 184 28
48 211 24
48 248 23
49 104 18
49 328 1
50 56 15
50 339 23
51 170 17
51 310 3
51 369 8
52 213 12
53 66 4
53 125 27
53 200 21
54 120 30
54 225 24
54 256 18
55 222 2
55 322 6
56 108 18
56 153 4
56 184 23
57 126 3
57 184 1
58 145 23
58 191 1
58 392 27
59 61 10
59 215 9
59 232 7
59 398 14
60 56 6
60 320 22
61 26 6
61 62 24
61 90 22
61 382 20
62 360 8
64 119 30
65 61 15
65 85 15
65 118 4
65 212 18
65 305 11
65 307 24
65 329 18
66 89 26
66 97 3
66 189 11
66 278 1
67 83 20
67 221 14
67 336 15
67 377 15
68 64 7
68 150 29
69 18 7
69 125 25
69 164 9
69 212 7
70 55 23
70 293 22
70 356 5
71 176 14
71 295 19
71 298 20
72 32 6
72 58 30
73 97 27
73 237 27
73 350 14
74 26 11
74 149 30
74 269 24
75 287 21
76 107 15
76 178 3
76 226 16
77 78 17
77 112 13
79 219 9
79 379 29
80 73 19
80 362 23
80 363 5
81 314 17
81 341 14
82 1 11
82 57 3
